boat_id;x;y;width;height;timestamp
Boat 15;1009;520;125;83;0.3003
Boat 15;514;441;108;37;0.3003
Boat 15;560;437;159;55;0.3003
Boat 15;615;449;73;21;0.3003
Boat 15;31;420;118;49;0.3003
Boat 15;36;439;77;27;0.3003
Boat 15;681;397;128;63;0.3003
Boat 15;135;397;70;23;0.3003
Boat 15;135;398;65;22;0.3003
Boat 15;207;396;159;56;0.3003
Boat 15;231;428;49;20;0.3003
Boat 1;141;1024;41;48;0.0
Boat 2;0;1011;66;47;0.0
Boat 3;385;824;99;81;0.0
Boat 4;397;873;49;30;0.0
Boat 5;1061;582;154;53;0.0
Boat 6;407;432;159;46;0.0
Boat 7;643;332;82;33;0.0
Boat 8;684;332;38;17;0.0
Boat 8;141;1024;41;48;0.33366666666666667
Boat 8;0;1011;66;47;0.33366666666666667
Boat 8;385;824;99;81;0.33366666666666667
Boat 8;397;873;49;30;0.33366666666666667
Boat 8;1061;582;154;53;0.33366666666666667
Boat 8;407;432;159;46;0.33366666666666667
Boat 8;643;332;82;33;0.33366666666666667
Boat 8;684;332;38;17;0.33366666666666667
Boat 1;161;877;47;38;0.0
Boat 2;162;877;29;38;0.0
Boat 3;93;862;79;68;0.0
Boat 4;495;686;65;30;0.0
Boat 5;430;647;58;29;0.0
Boat 6;176;608;79;34;0.0
Boat 7;438;523;205;72;0.0
Boat 8;0;505;141;100;0.0
Boat 9;626;370;101;39;0.0
Boat 9;161;877;47;38;0.3670333333333333
Boat 9;162;877;29;38;0.3670333333333333
Boat 9;93;862;79;68;0.3670333333333333
Boat 9;495;686;65;30;0.3670333333333333
Boat 9;430;647;58;29;0.3670333333333333
Boat 9;176;608;79;34;0.3670333333333333
Boat 9;438;523;205;72;0.3670333333333333
Boat 9;0;505;141;100;0.3670333333333333
Boat 9;626;370;101;39;0.3670333333333333
Boat 1;64;996;49;81;0.0
Boat 2;256;558;110;57;0.0
Boat 3;309;555;240;127;0.0
Boat 4;403;505;148;79;0.0
Boat 5;922;503;90;86;0.0
Boat 6;948;541;50;25;0.0
Boat 7;119;486;170;55;0.0
Boat 8;70;435;266;117;0.0
Boat 9;304;276;65;22;0.0
Boat 10;306;277;60;20;0.0
Boat 10;64;996;49;81;0.40040000000000003
Boat 10;256;558;110;57;0.40040000000000003
Boat 10;309;555;240;127;0.40040000000000003
Boat 10;403;505;148;79;0.40040000000000003
Boat 10;922;503;90;86;0.40040000000000003
Boat 10;948;541;50;25;0.40040000000000003
Boat 10;119;486;170;55;0.40040000000000003
Boat 10;70;435;266;117;0.40040000000000003
Boat 10;304;276;65;22;0.40040000000000003
Boat 10;306;277;60;20;0.40040000000000003
Boat 1;78;849;52;61;0.0
Boat 2;1025;603;117;89;0.0
Boat 3;0;510;112;78;0.0
Boat 4;509;216;68;22;0.0
Boat 5;530;219;44;17;0.0
Boat 5;78;849;52;61;0.4337666666666667
Boat 5;1025;603;117;89;0.4337666666666667
Boat 5;0;510;112;78;0.4337666666666667
Boat 5;509;216;68;22;0.4337666666666667
Boat 5;530;219;44;17;0.4337666666666667
Boat 1;24;1016;84;59;0.0
Boat 2;11;896;65;120;0.0
Boat 3;283;887;58;99;0.0
Boat 4;96;853;82;97;0.0
Boat 5;83;746;53;52;0.0
